Barcode,Celltype,Trajectory
scATAC_Eye_E13_5_BC19713_N01,G02=20.10:Erythroblast,Definitive erythroid trajectory
scATAC_Eye_E13_5_BC17899_N01,G02=20.10:Erythroblast,Definitive erythroid trajectory
scATAC_Eye_E13_5_BC20171_N01,G02=20.10:Erythroblast,Definitive erythroid trajectory
scATAC_Eye_E13_5_BC17703_N01,G04=18.1:Macrophage,White blood cell trajectory
scATAC_Eye_E13_5_BC17765_N01,G02=20.10:Erythroblast,Definitive erythroid trajectory
scATAC_Eye_E13_5_BC20471_N01,G02=20.10:Erythroblast,Definitive erythroid trajectory
scATAC_Eye_E13_5_BC19397_N01,G02=20.10:Erythroblast,Definitive erythroid trajectory
scATAC_Eye_E13_5_BC20166_N01,G02=20.10:Erythroblast,Definitive erythroid trajectory
scATAC_Eye_E13_5_BC18292_N01,G02=20.10:Erythroblast,Definitive erythroid trajectory
scATAC_Eye_E13_5_BC18519_N01,G02=20.10:Erythroblast,Definitive erythroid trajectory
scATAC_Eye_E13_5_BC20656_N01,G02=20.10:Erythroblast,Definitive erythroid trajectory
scATAC_Eye_E13_5_BC19871_N01,G02=20.10:Erythroblast,Definitive erythroid trajectory
scATAC_Eye_E13_5_BC18737_N01,G02=20.10:Erythroblast,Definitive erythroid trajectory
scATAC_Eye_E13_5_BC15388_N01,G02=20.10:Erythroblast,Definitive erythroid trajectory
scATAC_Eye_E13_5_BC19162_N01,G02=21.1:Erythroblast,Definitive erythroid trajectory
scATAC_Eye_E13_5_BC19368_N01,G02=20.10:Erythroblast,Definitive erythroid trajectory
scATAC_Eye_E13_5_BC20438_N01,G02=20.10:Erythroblast,Definitive erythroid trajectory
scATAC_Eye_E13_5_BC18948_N01,G02=20.10:Erythroblast,Definitive erythroid trajectory
scATAC_Eye_E13_5_BC10493_N01,G02=20.10:Erythroblast,Definitive erythroid trajectory
scATAC_Eye_E13_5_BC18766_N01,G02=20.10:Erythroblast,Definitive erythroid trajectory
scATAC_Eye_E13_5_BC20248_N01,G02=20.10:Erythroblast,Definitive erythroid trajectory
scATAC_Eye_E13_5_BC15596_N01,G04=18.1:Macrophage,White blood cell trajectory
scATAC_Eye_E13_5_BC19765_N01,G02=20.10:Erythroblast,Definitive erythroid trajectory
scATAC_Eye_E13_5_BC18856_N01,G02=20.10:Erythroblast,Definitive erythroid trajectory
scATAC_Eye_E13_5_BC19759_N01,G02=20.10:Erythroblast,Definitive erythroid trajectory
scATAC_Eye_E13_5_BC14381_N01,G02=20.10:Erythroblast,Definitive erythroid trajectory
scATAC_Eye_E13_5_BC19639_N01,G02=20.10:Erythroblast,Definitive erythroid trajectory
scATAC_Eye_E13_5_BC20079_N01,G02=20.10:Erythroblast,Definitive erythroid trajectory
scATAC_Eye_E13_5_BC05723_N01,G04=18.1:Macrophage,White blood cell trajectory
scATAC_Eye_E13_5_BC17794_N01,G02=20.10:Erythroblast,Definitive erythroid trajectory
scATAC_Eye_E13_5_BC19284_N01,G02=20.10:Erythroblast,Definitive erythroid trajectory
scATAC_Eye_E13_5_BC19131_N01,G04=18.1:Macrophage,White blood cell trajectory
scATAC_Eye_E13_5_BC20172_N01,G02=20.10:Erythroblast,Definitive erythroid trajectory
scATAC_Eye_E13_5_BC09421_N01,G02=20.10:Erythroblast,Definitive erythroid trajectory
scATAC_Eye_E13_5_BC17819_N01,G02=20.10:Erythroblast,Definitive erythroid trajectory
scATAC_Eye_E13_5_BC13394_N01,G04=18.1:Macrophage,White blood cell trajectory
scATAC_Eye_E13_5_BC19265_N01,G02=20.10:Erythroblast,Definitive erythroid trajectory
scATAC_Eye_E13_5_BC20161_N01,G02=20.10:Erythroblast,Definitive erythroid trajectory
scATAC_Eye_E13_5_BC11392_N01,G04=18.1:Macrophage,White blood cell trajectory
scATAC_Eye_E13_5_BC11990_N01,G02=20.10:Erythroblast,Definitive erythroid trajectory
scATAC_Eye_E13_5_BC20520_N01,G02=20.10:Erythroblast,Definitive erythroid trajectory
scATAC_Eye_E13_5_BC18384_N01,G02=20.10:Erythroblast,Definitive erythroid trajectory
scATAC_Eye_E13_5_BC11869_N01,G04=18.1:Macrophage,White blood cell trajectory
scATAC_Eye_E13_5_BC06478_N01,G04=18.1:Macrophage,White blood cell trajectory
scATAC_Eye_E13_5_BC19239_N01,G02=20.10:Erythroblast,Definitive erythroid trajectory
scATAC_Eye_E13_5_BC08013_N01,G04=18.1:Macrophage,White blood cell trajectory
scATAC_Eye_E13_5_BC08498_N01,G04=18.1:Macrophage,White blood cell trajectory
scATAC_Eye_E13_5_BC13672_N01,G04=18.1:Macrophage,White blood cell trajectory
scATAC_ForeBrain_E13_5_BC21652_N01,G02=21.1:Erythroblast,Definitive erythroid trajectory
scATAC_ForeBrain_E13_5_BC20644_N01,G02=21.1:Erythroblast,Definitive erythroid trajectory
scATAC_ForeBrain_E13_5_BC21815_N01,G02=21.1:Erythroblast,Definitive erythroid trajectory
scATAC_ForeBrain_E13_5_BC21901_N01,G02=21.1:Erythroblast,Definitive erythroid trajectory
scATAC_ForeBrain_E13_5_BC20293_N01,G02=20.0:Erythroblast,Definitive erythroid trajectory
scATAC_ForeBrain_E13_5_BC22168_N01,G02=21.1:Erythroblast,Definitive erythroid trajectory
scATAC_ForeBrain_E13_5_BC22413_N01,G02=20.0:Erythroblast,Definitive erythroid trajectory
scATAC_ForeBrain_E13_5_BC22000_N01,G02=21.4:Erythroblast,Definitive erythroid trajectory
scATAC_ForeBrain_E13_5_BC22958_N01,G02=21.1:Erythroblast,Definitive erythroid trajectory
scATAC_ForeBrain_E13_5_BC22384_N01,G02=20.0:Erythroblast,Definitive erythroid trajectory
scATAC_ForeBrain_E13_5_BC23726_N01,G02=21.1:Erythroblast,Definitive erythroid trajectory
scATAC_ForeBrain_E13_5_BC19898_N01,G02=20.0:Erythroblast,Definitive erythroid trajectory
scATAC_ForeBrain_E13_5_BC22470_N01,G02=21.1:Erythroblast,Definitive erythroid trajectory
scATAC_ForeBrain_E13_5_BC23539_N01,G02=21.1:Erythroblast,Definitive erythroid trajectory
scATAC_ForeBrain_E13_5_BC22571_N01,G02=21.1:Erythroblast,Definitive erythroid trajectory
scATAC_ForeBrain_E13_5_BC21788_N02,G02=20.0:Erythroblast,Definitive erythroid trajectory
scATAC_ForeBrain_E13_5_BC06859_N01,G02=21.4:Erythroblast,Definitive erythroid trajectory
scATAC_ForeBrain_E13_5_BC20824_N01,G02=21.1:Erythroblast,Definitive erythroid trajectory
scATAC_ForeBrain_E13_5_BC22724_N01,G02=20.0:Erythroblast,Definitive erythroid trajectory
scATAC_ForeBrain_E13_5_BC23805_N01,G02=21.1:Erythroblast,Definitive erythroid trajectory
scATAC_ForeBrain_E13_5_BC23131_N01,G02=21.1:Erythroblast,Definitive erythroid trajectory
scATAC_ForeBrain_E13_5_BC23399_N01,G02=21.4:Erythroblast,Definitive erythroid trajectory
scATAC_ForeBrain_E13_5_BC22762_N01,G02=21.1:Erythroblast,Definitive erythroid trajectory
scATAC_ForeBrain_E13_5_BC20138_N01,G02=21.1:Erythroblast,Definitive erythroid trajectory
scATAC_ForeBrain_E13_5_BC23406_N01,G02=21.1:Erythroblast,Definitive erythroid trajectory
scATAC_ForeBrain_E13_5_BC22327_N01,G02=20.0:Erythroblast,Definitive erythroid trajectory
scATAC_ForeBrain_E13_5_BC22525_N01,G02=20.6:Erythroblast,Definitive erythroid trajectory
scATAC_ForeBrain_E13_5_BC23622_N01,G02=21.1:Erythroblast,Definitive erythroid trajectory
scATAC_ForeBrain_E13_5_BC22076_N01,G02=21.4:Erythroblast,Definitive erythroid trajectory
scATAC_ForeBrain_E13_5_BC22215_N01,G02=20.0:Erythroblast,Definitive erythroid trajectory
scATAC_ForeBrain_E13_5_BC19520_N01,G02=21.1:Erythroblast,Definitive erythroid trajectory
scATAC_ForeBrain_E13_5_BC23630_N01,G02=21.1:Erythroblast,Definitive erythroid trajectory
scATAC_ForeBrain_E13_5_BC20718_N01,G02=21.1:Erythroblast,Definitive erythroid trajectory
scATAC_ForeBrain_E13_5_BC23167_N01,G02=21.4:Erythroblast,Definitive erythroid trajectory
scATAC_ForeBrain_E13_5_BC06553_N01,G02=20.6:Erythroblast,Definitive erythroid trajectory
scATAC_ForeBrain_E13_5_BC21082_N01,G02=21.1:Erythroblast,Definitive erythroid trajectory
scATAC_ForeBrain_E13_5_BC22663_N01,G02=21.1:Erythroblast,Definitive erythroid trajectory
scATAC_ForeBrain_E13_5_BC22306_N01,G02=21.1:Erythroblast,Definitive erythroid trajectory
scATAC_ForeBrain_E13_5_BC22316_N01,G02=20.0:Erythroblast,Definitive erythroid trajectory
scATAC_ForeBrain_E13_5_BC22633_N01,G02=21.1:Erythroblast,Definitive erythroid trajectory
scATAC_ForeBrain_E13_5_BC21945_N01,G02=20.0:Erythroblast,Definitive erythroid trajectory
scATAC_ForeBrain_E13_5_BC23514_N01,G02=21.4:Erythroblast,Definitive erythroid trajectory
scATAC_ForeBrain_E13_5_BC14235_N01,G02=20.6:Erythroblast,Definitive erythroid trajectory
scATAC_ForeBrain_E13_5_BC21897_N01,G02=20.6:Erythroblast,Definitive erythroid trajectory
scATAC_ForeBrain_E13_5_BC21258_N01,G02=21.1:Erythroblast,Definitive erythroid trajectory
scATAC_ForeBrain_E13_5_BC18706_N01,G02=21.1:Erythroblast,Definitive erythroid trajectory
scATAC_ForeBrain_E13_5_BC19437_N01,G02=20.6:Erythroblast,Definitive erythroid trajectory
scATAC_ForeBrain_E13_5_BC23036_N01,G02=20.6:Erythroblast,Definitive erythroid trajectory
scATAC_ForeBrain_E13_5_BC22743_N01,G02=21.4:Erythroblast,Definitive erythroid trajectory
scATAC_ForeBrain_E13_5_BC23378_N01,G02=21.1:Erythroblast,Definitive erythroid trajectory
scATAC_ForeBrain_E13_5_BC22827_N01,G02=21.1:Erythroblast,Definitive erythroid trajectory
scATAC_ForeBrain_E13_5_BC04609_N01,G02=21.4:Erythroblast,Definitive erythroid trajectory
scATAC_ForeBrain_E13_5_BC13142_N01,G02=21.4:Erythroblast,Definitive erythroid trajectory
scATAC_ForeBrain_E13_5_BC16413_N01,G02=21.4:Erythroblast,Definitive erythroid trajectory
scATAC_ForeBrain_E13_5_BC23741_N01,G02=21.1:Erythroblast,Definitive erythroid trajectory
scATAC_ForeBrain_E13_5_BC18670_N01,G02=20.0:Erythroblast,Definitive erythroid trajectory
scATAC_ForeBrain_E13_5_BC20728_N01,G02=21.1:Erythroblast,Definitive erythroid trajectory
scATAC_ForeBrain_E13_5_BC23383_N01,G02=21.1:Erythroblast,Definitive erythroid trajectory
scATAC_ForeBrain_E13_5_BC22108_N01,G02=20.6:Erythroblast,Definitive erythroid trajectory
scATAC_ForeBrain_E13_5_BC16407_N01,G02=21.1:Erythroblast,Definitive erythroid trajectory
scATAC_ForeBrain_E13_5_BC19567_N01,G02=21.1:Erythroblast,Definitive erythroid trajectory
scATAC_ForeBrain_E13_5_BC21343_N01,G02=21.1:Erythroblast,Definitive erythroid trajectory
scATAC_ForeBrain_E13_5_BC21714_N01,G02=20.0:Erythroblast,Definitive erythroid trajectory
scATAC_ForeBrain_E13_5_BC23535_N01,G02=21.1:Erythroblast,Definitive erythroid trajectory
scATAC_ForeBrain_E13_5_BC18907_N01,G02=20.0:Erythroblast,Definitive erythroid trajectory
scATAC_ForeBrain_E13_5_BC20661_N01,G02=21.1:Erythroblast,Definitive erythroid trajectory
scATAC_ForeBrain_E13_5_BC22078_N01,G02=20.6:Erythroblast,Definitive erythroid trajectory
scATAC_ForeBrain_E13_5_BC22614_N01,G02=21.1:Erythroblast,Definitive erythroid trajectory
scATAC_ForeBrain_E13_5_BC21386_N01,G02=21.1:Erythroblast,Definitive erythroid trajectory
scATAC_ForeBrain_E13_5_BC18664_N01,G02=20.6:Erythroblast,Definitive erythroid trajectory
scATAC_ForeBrain_E13_5_BC21586_N01,G02=21.1:Erythroblast,Definitive erythroid trajectory
scATAC_ForeBrain_E13_5_BC22819_N01,G02=21.1:Erythroblast,Definitive erythroid trajectory
scATAC_ForeBrain_E13_5_BC22110_N01,G02=21.1:Erythroblast,Definitive erythroid trajectory
scATAC_ForeBrain_E13_5_BC21519_N01,G02=20.6:Erythroblast,Definitive erythroid trajectory
scATAC_ForeBrain_E13_5_BC18775_N01,G02=20.6:Erythroblast,Definitive erythroid trajectory
scATAC_ForeBrain_E13_5_BC22134_N01,G02=21.1:Erythroblast,Definitive erythroid trajectory
scATAC_ForeBrain_E13_5_BC23223_N01,G02=20.6:Erythroblast,Definitive erythroid trajectory
scATAC_ForeBrain_E13_5_BC22469_N01,G02=21.1:Erythroblast,Definitive erythroid trajectory
scATAC_ForeBrain_E13_5_BC09222_N01,G02=20.6:Erythroblast,Definitive erythroid trajectory
scATAC_ForeBrain_E13_5_BC20482_N01,G02=21.1:Erythroblast,Definitive erythroid trajectory
scATAC_ForeBrain_E13_5_BC21790_N01,G02=21.1:Erythroblast,Definitive erythroid trajectory
scATAC_ForeBrain_E13_5_BC22821_N01,G02=21.1:Erythroblast,Definitive erythroid trajectory
scATAC_ForeBrain_E13_5_BC07060_N01,G02=20.6:Erythroblast,Definitive erythroid trajectory
scATAC_ForeBrain_E13_5_BC19853_N01,G02=21.1:Erythroblast,Definitive erythroid trajectory
scATAC_ForeBrain_E13_5_BC09794_N01,G02=20.6:Erythroblast,Definitive erythroid trajectory
scATAC_ForeBrain_E13_5_BC20673_N01,G02=21.1:Erythroblast,Definitive erythroid trajectory
scATAC_ForeBrain_E13_5_BC22716_N01,G02=21.1:Erythroblast,Definitive erythroid trajectory
scATAC_ForeBrain_E13_5_BC23804_N01,G02=21.1:Erythroblast,Definitive erythroid trajectory
scATAC_ForeBrain_E13_5_BC23826_N01,G02=21.4:Erythroblast,Definitive erythroid trajectory
scATAC_ForeBrain_E13_5_BC22650_N01,G02=21.4:Erythroblast,Definitive erythroid trajectory
scATAC_ForeBrain_E13_5_BC15691_N04,G02=20.6:Erythroblast,Definitive erythroid trajectory
scATAC_ForeBrain_E13_5_BC16856_N01,G02=21.1:Erythroblast,Definitive erythroid trajectory
scATAC_ForeBrain_E13_5_BC18675_N01,G02=20.0:Erythroblast,Definitive erythroid trajectory
scATAC_ForeBrain_E13_5_BC03574_N01,G02=21.1:Erythroblast,Definitive erythroid trajectory
scATAC_ForeBrain_E13_5_BC22727_N01,G02=20.6:Erythroblast,Definitive erythroid trajectory
scATAC_ForeBrain_E13_5_BC21381_N01,G02=21.4:Erythroblast,Definitive erythroid trajectory
scATAC_ForeBrain_E13_5_BC21186_N01,G02=21.1:Erythroblast,Definitive erythroid trajectory
scATAC_ForeBrain_E13_5_BC22709_N01,G02=21.1:Erythroblast,Definitive erythroid trajectory
scATAC_ForeBrain_E13_5_BC22229_N01,G02=20.6:Erythroblast,Definitive erythroid trajectory
scATAC_ForeBrain_E13_5_BC03689_N01,G02=20.6:Erythroblast,Definitive erythroid trajectory
scATAC_ForeBrain_E13_5_BC22092_N01,G02=21.4:Erythroblast,Definitive erythroid trajectory
scATAC_ForeBrain_E13_5_BC15116_N01,G02=20.6:Erythroblast,Definitive erythroid trajectory
scATAC_ForeBrain_E13_5_BC23716_N01,G02=20.6:Erythroblast,Definitive erythroid trajectory
scATAC_ForeBrain_E13_5_BC22640_N01,G02=21.1:Erythroblast,Definitive erythroid trajectory
scATAC_ForeBrain_E13_5_BC22273_N01,G02=20.0:Erythroblast,Definitive erythroid trajectory
scATAC_ForeBrain_E13_5_BC21705_N01,G02=21.1:Erythroblast,Definitive erythroid trajectory
scATAC_ForeBrain_E13_5_BC21209_N01,G02=21.1:Erythroblast,Definitive erythroid trajectory
scATAC_ForeBrain_E13_5_BC20726_N01,G02=21.4:Erythroblast,Definitive erythroid trajectory
scATAC_ForeBrain_E13_5_BC20833_N01,G02=21.1:Erythroblast,Definitive erythroid trajectory
scATAC_ForeBrain_E13_5_BC23447_N01,G02=20.0:Erythroblast,Definitive erythroid trajectory
scATAC_ForeBrain_E13_5_BC05004_N01,G02=21.4:Erythroblast,Definitive erythroid trajectory
scATAC_ForeBrain_E13_5_BC22878_N01,G02=21.1:Erythroblast,Definitive erythroid trajectory
scATAC_ForeBrain_E13_5_BC20703_N01,G02=21.4:Erythroblast,Definitive erythroid trajectory
scATAC_ForeBrain_E13_5_BC20512_N01,G02=21.4:Erythroblast,Definitive erythroid trajectory
scATAC_ForeBrain_E13_5_BC22818_N01,G02=20.0:Erythroblast,Definitive erythroid trajectory
scATAC_ForeBrain_E13_5_BC01037_N01,G02=21.4:Erythroblast,Definitive erythroid trajectory
scATAC_ForeBrain_E13_5_BC20189_N01,G02=20.0:Erythroblast,Definitive erythroid trajectory
scATAC_ForeBrain_E13_5_BC22288_N01,G02=21.1:Erythroblast,Definitive erythroid trajectory
scATAC_ForeBrain_E13_5_BC21693_N01,G02=21.1:Erythroblast,Definitive erythroid trajectory
scATAC_ForeBrain_E13_5_BC19664_N01,G02=21.1:Erythroblast,Definitive erythroid trajectory
scATAC_ForeBrain_E13_5_BC23413_N01,G02=21.1:Erythroblast,Definitive erythroid trajectory
scATAC_ForeBrain_E13_5_BC23883_N01,G02=21.1:Erythroblast,Definitive erythroid trajectory
scATAC_ForeBrain_E13_5_BC22247_N01,G02=21.1:Erythroblast,Definitive erythroid trajectory
scATAC_ForeBrain_E13_5_BC23885_N01,G02=21.1:Erythroblast,Definitive erythroid trajectory
scATAC_ForeBrain_E13_5_BC16921_N01,G02=21.4:Erythroblast,Definitive erythroid trajectory
scATAC_ForeBrain_E13_5_BC06552_N01,G02=21.4:Erythroblast,Definitive erythroid trajectory
scATAC_ForeBrain_E13_5_BC22551_N01,G02=21.1:Erythroblast,Definitive erythroid trajectory
scATAC_ForeBrain_E13_5_BC04826_N01,G02=20.6:Erythroblast,Definitive erythroid trajectory
scATAC_ForeBrain_E13_5_BC23590_N01,G02=20.0:Erythroblast,Definitive erythroid trajectory
scATAC_ForeBrain_E13_5_BC22938_N01,G02=21.4:Erythroblast,Definitive erythroid trajectory
scATAC_ForeBrain_E13_5_BC15108_N01,G02=21.4:Erythroblast,Definitive erythroid trajectory
scATAC_ForeBrain_E13_5_BC21658_N01,G02=20.6:Erythroblast,Definitive erythroid trajectory
scATAC_ForeBrain_E13_5_BC11365_N01,G02=20.6:Erythroblast,Definitive erythroid trajectory
scATAC_ForeBrain_E13_5_BC19033_N01,G02=21.1:Erythroblast,Definitive erythroid trajectory
scATAC_ForeBrain_E13_5_BC21315_N01,G02=20.0:Erythroblast,Definitive erythroid trajectory
scATAC_ForeBrain_E13_5_BC23929_N02,G02=20.0:Erythroblast,Definitive erythroid trajectory
scATAC_ForeBrain_E13_5_BC22257_N01,G02=20.0:Erythroblast,Definitive erythroid trajectory
scATAC_ForeBrain_E13_5_BC12198_N01,G02=21.4:Erythroblast,Definitive erythroid trajectory
scATAC_ForeBrain_E13_5_BC17468_N01,G02=20.6:Erythroblast,Definitive erythroid trajectory
scATAC_ForeBrain_E13_5_BC22603_N01,G02=21.4:Erythroblast,Definitive erythroid trajectory
scATAC_ForeBrain_E13_5_BC22210_N01,G02=21.1:Erythroblast,Definitive erythroid trajectory
scATAC_ForeBrain_E13_5_BC17392_N01,G02=20.0:Erythroblast,Definitive erythroid trajectory
scATAC_ForeBrain_E13_5_BC23692_N01,G02=21.1:Erythroblast,Definitive erythroid trajectory
scATAC_ForeBrain_E13_5_BC22713_N01,G02=20.6:Erythroblast,Definitive erythroid trajectory
scATAC_ForeBrain_E13_5_BC08855_N01,G02=21.4:Erythroblast,Definitive erythroid trajectory
scATAC_ForeBrain_E13_5_BC23300_N01,G02=21.1:Erythroblast,Definitive erythroid trajectory
scATAC_ForeBrain_E13_5_BC01770_N01,G02=20.6:Erythroblast,Definitive erythroid trajectory
scATAC_ForeBrain_E13_5_BC02340_N01,G02=20.6:Erythroblast,Definitive erythroid trajectory
